date,orders,status,value,service_name 
8/1/2016,20,Other,436800,Uber_RIDE
8/1/2016,0,Other,27300,Uber_SEND
9/1/2016,320,Cancelled,142122890,Uber_BOX
9/1/2016,30,Cancelled,4904900,Uber_CLEAN
9/1/2016,31730,Cancelled,558521600,Uber_FOOD
9/1/2016,10,Cancelled,1365000,Uber_GLAM
9/1/2016,10,Cancelled,191100,Uber_KILAT
9/1/2016,1680,Cancelled,23496200,Uber_MART
9/1/2016,70,Cancelled,12831000,Uber_MASSAGE
9/1/2016,56960,Cancelled,1371013280,Uber_RIDE
9/1/2016,4410,Cancelled,176314320,Uber_SEND
9/1/2016,13510,Cancelled,348100480,Uber_SHOP
9/1/2016,440,Cancelled,,Uber_TIX
9/1/2016,760,Completed,294996520,Uber_BOX
9/1/2016,210,Completed,35651980,Uber_CLEAN
9/1/2016,76850,Completed,1284119200,Uber_FOOD
9/1/2016,70,Completed,10874500,Uber_GLAM
9/1/2016,20,Completed,464100,Uber_KILAT
9/1/2016,2300,Completed,32159400,Uber_MART
9/1/2016,470,Completed,88687690,Uber_MASSAGE
9/1/2016,268050,Completed,5697076840,Uber_RIDE
9/1/2016,23800,Completed,882028420,Uber_SEND
9/1/2016,16950,Completed,413886200,Uber_SHOP
9/1/2016,40,Completed,,Uber_TIX
9/1/2016,50,Failed/Timeout,,Uber_TIX
9/1/2016,60,No Driver Found,39497185,Uber_BOX
9/1/2016,0,No Driver Found,737100,Uber_CLEAN
9/1/2016,2210,No Driver Found,45864000,Uber_FOOD
9/1/2016,30,No Driver Found,4935840,Uber_GLAM
9/1/2016,0,No Driver Found,27300,Uber_KILAT
9/1/2016,0,No Driver Found,18200,Uber_MART
9/1/2016,20,No Driver Found,3225040,Uber_MASSAGE
9/1/2016,2160,No Driver Found,52561600,Uber_RIDE
9/1/2016,240,No Driver Found,8548540,Uber_SEND
9/1/2016,110,No Driver Found,2717260,Uber_SHOP
9/1/2016,160,Other,3075800,Uber_FOOD
